{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.05890653582152578, 'Primal_time': 4.943843, 'Dual': 0.04227000140146195, 'Dual_time': 6.020804, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.011716370820209597, 'res_plus_time': 10.014423, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.04939026317818887, 'Primal_time': 5.075914, 'Dual': 0.03424162602215248, 'Dual_time': 4.801471, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.006983446279197017, 'res_plus_time': 9.916609, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.061317491385436414, 'Primal_time': 4.934614, 'Dual': 0.044666363551612, 'Dual_time': 5.898297, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.013688196317990486, 'res_plus_time': 9.717747, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.05817434262239006, 'Primal_time': 5.178552, 'Dual': 0.04186050811639001, 'Dual_time': 5.768179, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.01101936759192652, 'res_plus_time': 8.765197, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.056980816551438995, 'Primal_time': 5.489662, 'Dual': 0.039163947422228555, 'Dual_time': 5.987649, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.009872973352220283, 'res_plus_time': 12.299562, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.05402042064160606, 'Primal_time': 4.986096, 'Dual': 0.03919729754210251, 'Dual_time': 5.719374, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.011525056120810635, 'res_plus_time': 13.635721, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.06159336541854454, 'Primal_time': 4.522892, 'Dual': 0.046781262559428625, 'Dual_time': 6.546245, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.014122277095681698, 'res_plus_time': 9.279448, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.05973965948219355, 'Primal_time': 5.188571, 'Dual': 0.043187940412332766, 'Dual_time': 7.071239, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.012233192717077122, 'res_plus_time': 8.719899, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.10754690123741786, 'Primal_time': 5.33658, 'Dual': 0.07716128758261587, 'Dual_time': 6.808922, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.009348750218410156, 'res_plus_time': 9.76258, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.05306926718379391, 'Primal_time': 4.94776, 'Dual': 0.038973347839003726, 'Dual_time': 5.871963, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.011183412627237058, 'res_plus_time': 10.396231, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.11723509972792301, 'Primal_time': 5.266935, 'Dual': 0.08945170065246137, 'Dual_time': 6.320487, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.025527629918908293, 'res_plus_time': 10.632444, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.051074205203589275, 'Primal_time': 5.343682, 'Dual': 0.03710382811230114, 'Dual_time': 6.116616, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.008617994324120675, 'res_plus_time': 12.360841, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.05338785103462252, 'Primal_time': 4.817899, 'Dual': 0.03986001139830983, 'Dual_time': 5.570826, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.011577018722764438, 'res_plus_time': 13.449958, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.11152913765776623, 'Primal_time': 5.807139, 'Dual': 0.0807700985958576, 'Dual_time': 7.602511, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.021880450303124674, 'res_plus_time': 9.701675, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.05944868395713529, 'Primal_time': 4.897508, 'Dual': 0.04341589311120467, 'Dual_time': 4.683399, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.012329683401540004, 'res_plus_time': 12.219417, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.11741789501443906, 'Primal_time': 5.571256, 'Dual': 0.08894780972911122, 'Dual_time': 6.486695, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.02559280782611531, 'res_plus_time': 15.148898, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.05181948165719491, 'Primal_time': 5.205096, 'Dual': 0.03764699931895672, 'Dual_time': 5.953504, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.009445748991705067, 'res_plus_time': 13.204345, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.1139650902962127, 'Primal_time': 5.707921, 'Dual': 0.08224850925863814, 'Dual_time': 5.273143, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.022239894619928882, 'res_plus_time': 10.961633, 'status_res_plus': 0.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': 0.13818060739624485, 'Primal_time': 4.261634, 'Dual': 0.12415325950994384, 'Dual_time': 3.748697, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.08450730052030311, 'res_plus_time': 19.106619, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.22980655089360302, 'Primal_time': 4.703865, 'Dual': 0.2298050942537076, 'Dual_time': 3.731534, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.17492261130776407, 'res_plus_time': 15.218543, 'status_res_plus': 0.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.05381662632463192, 'Primal_time': 4.077886, 'Dual': 0.053808071747324264, 'Dual_time': 3.360739, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.045244531356567703, 'res_plus_time': 11.703723, 'status_res_plus': 0.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.04042761607042925, 'Primal_time': 3.792516, 'Dual': 0.04042401375299374, 'Dual_time': 3.260581, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.03867492451663886, 'res_plus_time': 10.985789, 'status_res_plus': 0.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.055953091356434746, 'Primal_time': 3.95883, 'Dual': 0.05594590684199935, 'Dual_time': 3.278509, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.04598834134045746, 'res_plus_time': 10.64159, 'status_res_plus': 0.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.0007730859765290532, 'Primal_time': 4.368199, 'Dual': 0.0007727808862835578, 'Dual_time': 3.350477, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0007413243478747353, 'res_plus_time': 15.187705, 'status_res_plus': 0.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.03439273292260279, 'Primal_time': 4.051198, 'Dual': 0.034389821910183034, 'Dual_time': 3.28654, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.03490364495366179, 'res_plus_time': 10.928364, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.24996794978173023, 'Primal_time': 5.231323, 'Dual': 0.22687113991539426, 'Dual_time': 3.912673, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.16537962509424037, 'res_plus_time': 19.433919, 'status_res_plus': 0.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': 0.13419376563002314, 'Primal_time': 4.42399, 'Dual': 0.1341836861629313, 'Dual_time': 3.655205, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.10522825238422236, 'res_plus_time': 13.524413, 'status_res_plus': 0.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.033800007858335764, 'Primal_time': 4.280664, 'Dual': 0.033796243285184414, 'Dual_time': 3.289645, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.024722518987537436, 'res_plus_time': 10.03528, 'status_res_plus': 0.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.0506867069917231, 'Primal_time': 4.174801, 'Dual': 0.050685622875804075, 'Dual_time': 3.451146, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.04394731619876458, 'res_plus_time': 11.420666, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.21109042154225166, 'Primal_time': 4.562826, 'Dual': 0.21108892863450948, 'Dual_time': 3.737494, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.1706666029476214, 'res_plus_time': 14.804997, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.2453708565846907, 'Primal_time': 5.06443, 'Dual': 0.22201291554848077, 'Dual_time': 6.065096, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.16158773011336733, 'res_plus_time': 18.458552, 'status_res_plus': 0.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': 0.02420752527603482, 'Primal_time': 4.149159, 'Dual': 0.024199352380715352, 'Dual_time': 3.751324, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.01764558820521602, 'res_plus_time': 12.485686, 'status_res_plus': 0.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': 0.1266197813306445, 'Primal_time': 5.264896, 'Dual': 0.112502366899217, 'Dual_time': 6.043825, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.06295987712917112, 'res_plus_time': 14.857806, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.21161042933565663, 'Primal_time': 5.048163, 'Dual': 0.1894418726336789, 'Dual_time': 6.002843, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.09873451424561829, 'res_plus_time': 14.704037, 'status_res_plus': 0.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': -0.0008067393313397302, 'Primal_time': 5.08103, 'Dual': -0.0008078540031905664, 'Dual_time': 3.672144, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -0.0008119722133160976, 'res_plus_time': 0.002785, 'status_res_plus': 1.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.04702986076405602, 'Primal_time': 4.21435, 'Dual': 0.04702706615098224, 'Dual_time': 3.34291, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.04221320200614592, 'res_plus_time': 11.478814, 'status_res_plus': 0.0}
