{'target': 9, 'label': 8, 'model_name': '', 'Primal': 4.589384095984128, 'Primal_time': 2579.729962, 'Dual': 4.303960522517128, 'Dual_time': 1895.18207, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.138563642763924, 'res_plus_time': 4729.250721, 'status_res_plus': 0.0}
{'target': 4, 'label': 6, 'model_name': '', 'Primal': 0.44111328288928053, 'Primal_time': 2405.58189, 'Dual': 0.19647516631819706, 'Dual_time': 1771.62337, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -2.489501338509634, 'res_plus_time': 3173.586865, 'status_res_plus': 1.0}
{'target': 7, 'label': 1, 'model_name': '', 'Primal': 36.32148704170195, 'Primal_time': 2183.636001, 'Dual': 36.00373993478864, 'Dual_time': 2537.549825, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 33.089548542615766, 'res_plus_time': 5861.035408, 'status_res_plus': 0.0}
{'target': 3, 'label': 5, 'model_name': '', 'Primal': 2.0788212864768, 'Primal_time': 2463.735589, 'Dual': 1.9278731792719657, 'Dual_time': 1549.377754, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.6007539954187956, 'res_plus_time': 2845.554346, 'status_res_plus': 0.0}
{'target': 7, 'label': 1, 'model_name': '', 'Primal': 14.19204726360565, 'Primal_time': 2343.897129, 'Dual': 13.629286556739427, 'Dual_time': 2053.790994, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 8.998305000679757, 'res_plus_time': 4922.466565, 'status_res_plus': 0.0}
{'target': 4, 'label': 6, 'model_name': '', 'Primal': 0.9055455316385, 'Primal_time': 2617.114814, 'Dual': 0.646521822141671, 'Dual_time': 1918.178696, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -2.1769506113502244, 'res_plus_time': 3814.940979, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 2.6857975403400047, 'Primal_time': 2457.694669, 'Dual': 2.53656025318913, 'Dual_time': 2014.960268, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.4990884850218154, 'res_plus_time': 4249.461821, 'status_res_plus': 0.0}
{'target': 8, 'label': 3, 'model_name': '', 'Primal': 2.48246510849695, 'Primal_time': 2219.314191, 'Dual': 2.3443771530679016, 'Dual_time': 1615.575724, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.5870118511514903, 'res_plus_time': 4093.074333, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 9.45879610378706, 'Primal_time': 2448.441526, 'Dual': 9.183300027895209, 'Dual_time': 2216.066407, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 7.769262291292472, 'res_plus_time': 6562.947375, 'status_res_plus': 0.0}
{'target': 8, 'label': 5, 'model_name': '', 'Primal': 4.916563147701309, 'Primal_time': 2446.155509, 'Dual': 4.784806982588926, 'Dual_time': 1641.958664, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.7657991331072793, 'res_plus_time': 3982.114202, 'status_res_plus': 0.0}
