{'target': 4, 'label': 6, 'model_name': '', 'Primal': -0.9935636990371548, 'Primal_time': 2151.580768, 'Dual': -1.294057421642785, 'Dual_time': 2146.668166, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -3.2656425750438287, 'res_plus_time': 3060.43794, 'status_res_plus': 1.0}
{'target': 5, 'label': 0, 'model_name': '', 'Primal': -2.7095368199892795, 'Primal_time': 2137.638332, 'Dual': -3.1101915061336753, 'Dual_time': 1631.483521, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.6206092022435, 'res_plus_time': 2493.917919, 'status_res_plus': 1.0}
{'target': 3, 'label': 5, 'model_name': '', 'Primal': -0.851738562289105, 'Primal_time': 2331.014824, 'Dual': -1.0346364384788722, 'Dual_time': 1791.562231, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -1.8802938350720988, 'res_plus_time': 2250.844629, 'status_res_plus': 1.0}
{'target': 1, 'label': 8, 'model_name': '', 'Primal': -5.075838554069363, 'Primal_time': 2149.303464, 'Dual': -5.205545797321925, 'Dual_time': 2087.483858, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -6.408727766165535, 'res_plus_time': 2648.997982, 'status_res_plus': 1.0}
{'target': 5, 'label': 9, 'model_name': '', 'Primal': -2.465585741343849, 'Primal_time': 2205.515853, 'Dual': -2.687585610305711, 'Dual_time': 1339.430368, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -3.2892000506706154, 'res_plus_time': 2115.656828, 'status_res_plus': 1.0}
{'target': 5, 'label': 8, 'model_name': '', 'Primal': -0.8649796895875844, 'Primal_time': 1583.664511, 'Dual': -0.977401592905498, 'Dual_time': 1466.047906, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -1.735591903591825, 'res_plus_time': 2249.116895, 'status_res_plus': 1.0}
{'target': 2, 'label': 9, 'model_name': '', 'Primal': -1.5402404340190086, 'Primal_time': 1781.058337, 'Dual': -1.721502180596634, 'Dual_time': 1221.450254, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -2.3348932742993136, 'res_plus_time': 2218.818399, 'status_res_plus': 1.0}
{'target': 7, 'label': 3, 'model_name': '', 'Primal': -5.100104748204317, 'Primal_time': 1633.917378, 'Dual': -5.252085441390734, 'Dual_time': 1057.50446, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -5.960375967981434, 'res_plus_time': 1583.005078, 'status_res_plus': 1.0}
{'target': 4, 'label': 1, 'model_name': '', 'Primal': 2.239577695633262, 'Primal_time': 1686.811358, 'Dual': 1.9187829506911054, 'Dual_time': 1487.292217, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -1.751473903158306, 'res_plus_time': 2817.44499, 'status_res_plus': 1.0}
{'target': 1, 'label': 3, 'model_name': '', 'Primal': -2.2504641291866068, 'Primal_time': 1733.668908, 'Dual': -2.430219223448731, 'Dual_time': 1134.139387, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -3.9814848208000178, 'res_plus_time': 1699.562305, 'status_res_plus': 1.0}
{'target': 9, 'label': 8, 'model_name': '', 'Primal': 0.4505298505187446, 'Primal_time': 1828.262425, 'Dual': 0.3319367278290677, 'Dual_time': 1221.116745, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.2643007951920719, 'res_plus_time': 1910.662841, 'status_res_plus': 1.0}
{'target': 5, 'label': 8, 'model_name': '', 'Primal': -4.237342138994475, 'Primal_time': 1681.688478, 'Dual': -4.406992893972483, 'Dual_time': 1257.959772, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -5.4159859561907115, 'res_plus_time': 2129.512955, 'status_res_plus': 1.0}
{'target': 5, 'label': 6, 'model_name': '', 'Primal': -8.110446027923999, 'Primal_time': 1631.847987, 'Dual': -8.313658306666138, 'Dual_time': 1402.059556, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -9.450973814635635, 'res_plus_time': 1977.000883, 'status_res_plus': 1.0}
{'target': 5, 'label': 1, 'model_name': '', 'Primal': 12.188698004086852, 'Primal_time': 1520.138788, 'Dual': 11.879009513807619, 'Dual_time': 1713.462968, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 10.230885183346576, 'res_plus_time': 4621.888618, 'status_res_plus': 0.0}
{'target': 9, 'label': 5, 'model_name': '', 'Primal': -1.794854637942206, 'Primal_time': 1726.307226, 'Dual': -1.9442522002917335, 'Dual_time': 1019.437764, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -2.682026079215836, 'res_plus_time': 1496.041638, 'status_res_plus': 1.0}
{'target': 6, 'label': 1, 'model_name': '', 'Primal': -5.1748559118732445, 'Primal_time': 1575.525441, 'Dual': -5.622922471344107, 'Dual_time': 1452.778341, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -8.014672239832871, 'res_plus_time': 2276.230071, 'status_res_plus': 1.0}
